Distance;1_10-decanediol;1_2-decanediol;1_2-hexanediol;1_2-octanediol;1_3-decanediol;1_4-decanediol;1_5-decanediol;1_6-decanediol;1_6-hexanediol;1_7-decanediol;1_8-decanediol;1_8-octanediol;1_9-decanediol;diethyleneglycol
0.032;-0.695;-2.732;1.643;-0.957;-0.462;-0.673;-0.608;-0.528;3.380;-0.496;-0.534;1.504;-0.417;2.950
0.096;-0.752;-2.819;1.606;-1.012;-0.546;-0.758;-0.682;-0.600;3.336;-0.562;-0.603;1.460;-0.474;2.932
0.159;-0.861;-2.981;1.525;-1.126;-0.713;-0.922;-0.832;-0.748;3.258;-0.694;-0.739;1.370;-0.593;2.921
0.223;-1.001;-3.205;1.403;-1.292;-0.957;-1.161;-1.050;-0.958;3.138;-0.886;-0.932;1.224;-0.755;2.897
0.287;-1.165;-3.471;1.241;-1.505;-1.268;-1.446;-1.312;-1.211;2.977;-1.119;-1.164;1.029;-0.956;2.845
0.350;-1.351;-3.770;1.039;-1.757;-1.630;-1.763;-1.604;-1.490;2.770;-1.376;-1.419;0.803;-1.184;2.772
0.414;-1.535;-4.093;0.798;-2.038;-2.026;-2.097;-1.908;-1.776;2.521;-1.640;-1.676;0.558;-1.392;2.671
0.478;-1.700;-4.411;0.520;-2.346;-2.436;-2.434;-2.207;-2.046;2.249;-1.894;-1.918;0.298;-1.601;2.544
0.541;-1.851;-4.711;0.211;-2.668;-2.844;-2.767;-2.498;-2.300;1.958;-2.134;-2.138;0.050;-1.790;2.386
0.605;-1.987;-4.994;-0.126;-2.980;-3.240;-3.091;-2.792;-2.543;1.652;-2.366;-2.342;-0.176;-1.963;2.192
0.669;-2.112;-5.239;-0.474;-3.274;-3.605;-3.398;-3.081;-2.784;1.343;-2.592;-2.532;-0.393;-2.131;1.970
0.733;-2.236;-5.428;-0.816;-3.545;-3.924;-3.686;-3.360;-3.024;1.042;-2.824;-2.720;-0.609;-2.310;1.727
0.796;-2.379;-5.558;-1.139;-3.770;-4.185;-3.939;-3.621;-3.258;0.739;-3.059;-2.914;-0.832;-2.509;1.459
0.860;-2.545;-5.632;-1.427;-3.933;-4.385;-4.141;-3.845;-3.478;0.430;-3.283;-3.113;-1.063;-2.725;1.191
0.924;-2.722;-5.646;-1.659;-4.034;-4.520;-4.286;-4.009;-3.658;0.121;-3.476;-3.293;-1.301;-2.933;0.926
0.987;-2.888;-5.596;-1.831;-4.071;-4.591;-4.365;-4.108;-3.779;-0.176;-3.612;-3.428;-1.529;-3.108;0.678
1.051;-3.010;-5.476;-1.937;-4.040;-4.593;-4.376;-4.134;-3.831;-0.441;-3.671;-3.496;-1.719;-3.215;0.458
1.115;-3.062;-5.284;-1.977;-3.938;-4.527;-4.313;-4.080;-3.808;-0.657;-3.648;-3.487;-1.849;-3.235;0.269
1.178;-3.022;-5.022;-1.953;-3.767;-4.392;-4.183;-3.954;-3.706;-0.807;-3.536;-3.392;-1.901;-3.158;0.115
1.242;-2.890;-4.695;-1.868;-3.530;-4.195;-3.984;-3.758;-3.536;-0.883;-3.344;-3.220;-1.871;-2.988;0.009
1.306;-2.673;-4.314;-1.727;-3.243;-3.950;-3.733;-3.505;-3.309;-0.888;-3.087;-2.983;-1.763;-2.739;-0.048
1.370;-2.391;-3.901;-1.544;-2.911;-3.674;-3.444;-3.211;-3.040;-0.833;-2.784;-2.698;-1.594;-2.437;-0.062
1.433;-2.063;-3.474;-1.332;-2.557;-3.379;-3.131;-2.893;-2.742;-0.727;-2.454;-2.382;-1.377;-2.104;-0.042
1.497;-1.712;-3.051;-1.106;-2.201;-3.068;-2.807;-2.558;-2.419;-0.587;-2.110;-2.051;-1.135;-1.761;0.008
1.561;-1.357;-2.636;-0.887;-1.854;-2.739;-2.466;-2.204;-2.070;-0.428;-1.754;-1.705;-0.882;-1.420;0.078
1.624;-1.001;-2.229;-0.685;-1.523;-2.382;-2.100;-1.832;-1.694;-0.265;-1.387;-1.348;-0.631;-1.081;0.152
1.688;-0.639;-1.827;-0.514;-1.205;-1.990;-1.717;-1.446;-1.295;-0.104;-1.008;-0.978;-0.376;-0.732;0.217
1.752;-0.265;-1.423;-0.364;-0.898;-1.558;-1.314;-1.062;-0.888;0.061;-0.626;-0.600;-0.107;-0.366;0.282
1.815;0.107;-1.022;-0.214;-0.601;-1.094;-0.909;-0.697;-0.496;0.235;-0.259;-0.232;0.169;0.006;0.348
1.879;0.458;-0.638;-0.060;-0.313;-0.617;-0.513;-0.353;-0.133;0.412;0.078;0.108;0.440;0.365;0.410
1.943;0.776;-0.271;0.112;-0.040;-0.153;-0.131;-0.025;0.188;0.587;0.380;0.417;0.695;0.700;0.474
2.006;1.035;0.067;0.289;0.212;0.268;0.230;0.288;0.460;0.737;0.637;0.680;0.911;0.993;0.554
2.070;1.220;0.356;0.454;0.424;0.619;0.555;0.577;0.681;0.829;0.841;0.885;1.058;1.221;0.647
2.134;1.328;0.584;0.586;0.584;0.886;0.829;0.826;0.856;0.853;0.997;1.026;1.126;1.381;0.744
2.198;1.367;0.745;0.664;0.685;1.062;1.029;1.016;0.989;0.819;1.099;1.108;1.128;1.467;0.802
2.261;1.365;0.838;0.685;0.728;1.152;1.142;1.136;1.077;0.772;1.150;1.138;1.095;1.491;0.811
2.325;1.335;0.873;0.662;0.727;1.173;1.172;1.177;1.111;0.734;1.151;1.127;1.051;1.466;0.775
2.389;1.280;0.860;0.608;0.690;1.134;1.131;1.142;1.091;0.693;1.107;1.081;0.990;1.399;0.695
2.452;1.178;0.801;0.528;0.621;1.037;1.032;1.045;1.018;0.621;1.022;0.998;0.891;1.272;0.589
2.516;1.020;0.703;0.429;0.527;0.890;0.892;0.906;0.900;0.511;0.897;0.880;0.752;1.092;0.472
2.580;0.834;0.581;0.331;0.422;0.716;0.729;0.749;0.753;0.386;0.748;0.738;0.590;0.884;0.355
2.643;0.634;0.451;0.238;0.319;0.535;0.561;0.585;0.593;0.267;0.585;0.585;0.428;0.666;0.244
2.707;0.453;0.337;0.162;0.232;0.378;0.408;0.433;0.442;0.170;0.433;0.441;0.289;0.474;0.154
2.771;0.313;0.250;0.110;0.165;0.259;0.287;0.306;0.315;0.108;0.312;0.324;0.189;0.325;0.092
2.835;0.206;0.182;0.071;0.112;0.172;0.195;0.208;0.216;0.070;0.217;0.232;0.119;0.214;0.054
2.898;0.131;0.130;0.043;0.073;0.110;0.127;0.135;0.142;0.045;0.146;0.162;0.076;0.134;0.029
2.962;0.081;0.089;0.025;0.046;0.066;0.082;0.085;0.090;0.029;0.096;0.111;0.050;0.081;0.014
3.026;0.051;0.060;0.014;0.028;0.037;0.051;0.051;0.056;0.018;0.062;0.075;0.033;0.047;0.006
3.089;0.033;0.038;0.007;0.016;0.019;0.032;0.030;0.033;0.011;0.039;0.049;0.022;0.026;0.002
3.153;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
